PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"13,612","$6,198,346",0.24%,
LISTED EQUITY,-,-,-,-,"ADOBE, INC.",-,ADBE US,-,,"8,629","$6,196,942",0.24%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"22,568","$6,110,800",0.23%,
LISTED EQUITY,-,-,-,-,DETERRA ROYALTIES LTD.,-,DRR AU,-,,"1,617,690","$6,017,805",0.23%,
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,"10,419","$5,919,797",0.23%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"42,017","$5,882,021",0.23%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"19,761","$5,671,574",0.22%,
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"136,967","$5,541,701",0.21%,
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"34,234","$5,500,389",0.21%,
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"126,414","$5,416,713",0.21%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"25,496","$5,398,676",0.21%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"13,337","$5,271,063",0.20%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"33,246","$5,255,585",0.20%,
