PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"4,185","$387,841",0.13%,
LISTED EQUITY,-,-,-,-,LVMH MOET HENNESSY LOUIS VUITTON SE,-,MC FP,-,,363,"$385,161",0.12%,
LISTED EQUITY,-,-,-,-,HSBC HOLDINGS PLC,-,HSBA LN,-,,"24,100","$382,834",0.12%,
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,376,"$381,247",0.12%,
LISTED EQUITY,-,-,-,-,"CATERPILLAR, INC.",-,CAT US,-,,644,"$376,998",0.12%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"1,501","$372,414",0.12%,
LISTED EQUITY,-,-,-,-,NEXTDC LTD.,-,NXT AU,-,,"24,665","$371,703",0.12%,
LISTED EQUITY,-,-,-,-,"TEXAS INSTRUMENTS, INC.",-,TXN US,-,,"1,223","$370,393",0.12%,
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,769,"$368,602",0.12%,
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"76,318","$367,087",0.12%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"5,615","$362,650",0.12%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,45,"$359,573",0.12%,
LISTED EQUITY,-,-,-,-,SGH LTD.,-,SGH AU,-,,"7,798","$359,543",0.12%,
LISTED EQUITY,-,-,-,-,ROYAL BANK OF CANADA,-,RY CN,-,,"1,845","$359,047",0.12%,
LISTED EQUITY,-,-,-,-,"AT&T, INC.",-,T US,-,,"9,562","$351,628",0.11%,
LISTED EQUITY,-,-,-,-,TREASURY WINE ESTATES LTD.,-,TWE AU,-,,"31,006","$351,299",0.11%,
LISTED EQUITY,-,-,-,-,"S&P GLOBAL, INC.",-,SPGI US,-,,433,"$348,408",0.11%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"11,110","$347,870",0.11%,
LISTED EQUITY,-,-,-,-,RTX CORP.,-,RTX US,-,,"1,796","$335,677",0.11%,
LISTED EQUITY,-,-,-,-,DANAHER CORP.,-,DHR US,-,,892,"$330,908",0.11%,
LISTED EQUITY,-,-,-,-,"PALANTIR TECHNOLOGIES, INC.",-,PLTR US,-,,"2,702","$330,062",0.11%,
LISTED EQUITY,-,-,-,-,AMCOR PLC,-,AMC AU,-,,"21,872","$327,425",0.11%,
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"7,619","$326,460",0.11%,
LISTED EQUITY,-,-,-,-,MORGAN STANLEY,-,MS US,-,,"1,605","$325,863",0.11%,
LISTED EQUITY,-,-,-,-,SIEMENS AG,-,SIE GR,-,,"1,029","$324,641",0.10%,
LISTED EQUITY,-,-,-,-,"BLACKROCK, INC.",-,BLK US,-,,193,"$320,158",0.10%,
LISTED EQUITY,-,-,-,-,"NEXTERA ENERGY, INC.",-,NEE US,-,,"2,753","$318,833",0.10%,
LISTED EQUITY,-,-,-,-,"HONEYWELL INTERNATIONAL, INC.",-,HON US,-,,873,"$318,667",0.10%,
LISTED EQUITY,-,-,-,-,NEWMONT CORP.,-,NEM AU,-,,"5,230","$311,398",0.10%,
LISTED EQUITY,-,-,-,-,COMCAST CORP.,-,CMCSA US,-,,"5,131","$311,015",0.10%,
LISTED EQUITY,-,-,-,-,UNILEVER PLC,-,ULVR LN,-,,"3,351","$308,306",0.10%,
