PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCIEQU] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,"GE VERNOVA, INC.",-,GEV US,-,,"5,591","$2,970,440",0.13%,
LISTED EQUITY,-,-,-,-,"NIKE, INC.",-,NKE US,-,,"24,288","$2,968,330",0.13%,
LISTED EQUITY,-,-,-,-,"MICRON TECHNOLOGY, INC.",-,MU US,-,,"21,824","$2,966,464",0.13%,
LISTED EQUITY,-,-,-,-,TORONTO-DOMINION BANK,-,TD CN,-,,"34,435","$2,959,509",0.13%,
LISTED EQUITY,-,-,-,-,AIA GROUP LTD.,-,1299 HK,-,,"246,949","$2,890,773",0.13%,
LISTED EQUITY,-,-,-,-,"INTERCONTINENTAL EXCHANGE, INC.",-,ICE US,-,,"11,923","$2,869,535",0.13%,
LISTED EQUITY,-,-,-,-,"PAYPAL HOLDINGS, INC.",-,PYPL US,-,,"20,629","$2,843,649",0.13%,
LISTED EQUITY,-,-,-,-,"ILLINOIS TOOL WORKS, INC.",-,ITW US,-,,"6,935","$2,839,992",0.13%,
LISTED EQUITY,-,-,-,-,ABB LTD.,-,ABBN SW,-,,"32,299","$2,824,625",0.13%,
LISTED EQUITY,-,-,-,-,L'OREAL SA,-,OR FP,-,,"4,926","$2,816,494",0.13%,
LISTED EQUITY,-,-,-,-,"CME GROUP, INC.",-,CME US,-,,"7,488","$2,808,685",0.13%,
LISTED EQUITY,-,-,-,-,ZURICH INSURANCE GROUP AG,-,ZURN SW,-,,"2,888","$2,773,328",0.12%,
LISTED EQUITY,-,-,-,-,IBERDROLA SA,-,IBE SM,-,,"124,607","$2,771,715",0.12%,
LISTED EQUITY,-,-,-,-,"CADENCE DESIGN SYSTEMS, INC.",-,CDNS US,-,,"5,708","$2,770,209",0.12%,
LISTED EQUITY,-,-,-,-,"ELEVANCE HEALTH, INC.",-,ELV US,-,,"4,597","$2,739,146",0.12%,
LISTED EQUITY,-,-,-,-,RELX PLC,-,REL LN,-,,"37,157","$2,727,598",0.12%,
LISTED EQUITY,-,-,-,-,INTEL CORP.,-,INTC US,-,,"84,186","$2,726,200",0.12%,
LISTED EQUITY,-,-,-,-,HERMES INTERNATIONAL SCA,-,RMS FP,-,,699,"$2,714,187",0.12%,
LISTED EQUITY,-,-,-,-,KLA CORP.,-,KLAC US,-,,"2,664","$2,710,830",0.12%,
LISTED EQUITY,-,-,-,-,"MONDELEZ INTERNATIONAL, INC.",-,MDLZ US,-,,"28,019","$2,703,055",0.12%,
LISTED EQUITY,-,-,-,-,AMPHENOL CORP.,-,APH US,-,,"24,043","$2,696,858",0.12%,
LISTED EQUITY,-,-,-,-,BP PLC,-,BP LN,-,,"337,531","$2,683,204",0.12%,
LISTED EQUITY,-,-,-,-,CIE FINANCIERE RICHEMONT SA,-,CFR SW,-,,"10,830","$2,661,718",0.12%,
LISTED EQUITY,-,-,-,-,CIGNA GROUP,-,CI US,-,,"5,962","$2,659,017",0.12%,
LISTED EQUITY,-,-,-,-,"CHIPOTLE MEXICAN GRILL, INC.",-,CMG US,-,,"27,251","$2,653,975",0.12%,
LISTED EQUITY,-,-,-,-,SHERWIN-WILLIAMS CO.,-,SHW US,-,,"4,832","$2,652,722",0.12%,
LISTED EQUITY,-,-,-,-,"WASTE MANAGEMENT, INC.",-,WM US,-,,"8,090","$2,636,565",0.12%,
LISTED EQUITY,-,-,-,-,PARKER-HANNIFIN CORP.,-,PH US,-,,"2,557","$2,626,747",0.12%,
LISTED EQUITY,-,-,-,-,"CROWDSTRIKE HOLDINGS, INC.",-,CRWD US,-,,"4,749","$2,624,477",0.12%,
LISTED EQUITY,-,-,-,-,TRANE TECHNOLOGIES PLC,-,TT US,-,,"4,393","$2,620,356",0.12%,
